Date,Open,High,Low,Close,Volume,OpenInt,B_Small,B_Large,Sell
2017-01-27,109.57,111.53,108.5,111.41,11171287,0,1,1,0
2017-01-30,110.56,110.65,107.57,109.66,12165122,0,1,1,0
2017-01-31,108.6,109.69,107.86,108.83,8800295,0,1,1,0
2017-02-01,110.22,113.76,109.5,113.59,14449081,0,1,1,0
2017-02-02,112.94,115.37,111.7,115.02,11969643,0,1,1,0
2017-02-03,115.08,115.53,113.54,114.02,9348445,0,1,1,0
2017-02-06,113.64,116.96,113.64,116.94,12093403,0,0,1,1
2017-02-07,118.33,120.53,117.53,118.75,18543436,0,0,0,1
2017-02-08,118.03,118.93,116.01,118.24,11098255,0,0,0,1
2017-02-09,118.49,118.68,115.23,116.01,16817545,0,0,0,1
2017-02-10,119.54,120.31,112.24,113.26,41081437,0,0,0,1
2017-02-13,113.03,113.62,107.86,108.03,28959334,0,0,1,1
2017-02-14,107.65,109.79,105.96,108.43,21113060,0,0,1,1
2017-02-15,108.55,109.44,107.42,108.65,9256340,0,0,0,1
2017-02-16,109.04,109.06,105.33,106.9,15298367,0,0,0,1
2017-02-17,106.37,107.07,104.46,106.89,13584541,0,1,1,1
2017-02-21,107.89,110.87,107.88,110.71,13376001,0,0,0,1
2017-02-22,111.2,111.58,109.77,110.54,10248961,0,0,0,1
2017-02-23,105.3,106.19,99.492,100.29,39429274,0,1,1,0
2017-02-24,96.883,101.8,95.515,101.2,24642138,0,1,1,1
2017-02-27,102,104.82,101.36,104.21,16534360,0,0,0,1
2017-02-28,104.6,105,100.58,101.28,15181594,0,0,1,1
2017-03-01,103.59,104.17,100.91,102.58,11750897,0,0,0,1
2017-03-02,102.07,102.64,98.699,98.809,17319084,0,0,0,1
2017-03-03,98.379,98.579,96.034,98.24,21413721,0,1,1,0
2017-03-06,96.773,97.911,94.986,97.481,21933122,0,1,1,0
2017-03-07,97.481,99.338,96.963,98.549,14844321,0,1,1,0
2017-03-08,100.5,101.1,98.279,98.369,15423273,0,1,1,0
2017-03-09,97.721,99.258,97.212,98.349,11531214,0,1,1,0
2017-03-10,99.422,99.89,98.19,98.909,11726903,0,1,1,0
2017-03-13,100.43,102.05,99.318,101.65,19390843,0,1,1,0
2017-03-14,102.17,102.55,100.27,101.58,13075662,0,1,1,0
2017-03-15,102.05,102.79,100.12,102.35,15405598,0,1,1,0
2017-03-16,102.78,103.63,102.21,103.61,13102794,0,1,1,0
2017-03-17,104.32,105.92,103.61,105.87,24645212,0,1,1,0
2017-03-20,106.58,109.39,105.93,109.23,18750355,0,0,0,1
2017-03-21,108.54,109.74,105.38,105.71,22881283,0,1,1,0
2017-03-22,105.26,108.05,105.1,107.87,15448935,0,0,0,1
2017-03-23,107.55,108.34,106.5,106.89,13374365,0,1,1,0
2017-03-24,108.76,109.08,106.22,107.27,10793183,0,0,1,1
2017-03-27,105.38,108.19,103.38,108.04,12271773,0,0,0,1
2017-03-28,108.09,108.68,107.07,107.49,10176113,0,0,0,1
2017-03-29,107.79,108.28,107.05,107.14,8627405,0,0,1,1
2017-03-30,107.43,109.78,107.2,109.18,13046531,0,0,0,1
2017-03-31,108.8,109.67,108.19,108.72,10864868,0,0,0,1
2017-04-03,108.74,109.43,107.22,108.17,11152346,0,0,0,1
2017-04-04,103.2,104.22,100.14,100.58,31585819,0,0,0,1
2017-04-05,99.82,102.17,99.308,99.83,18416847,0,0,1,1
2017-04-06,100.04,101.05,98.22,100.56,15754201,0,0,0,1
2017-04-07,100.82,101.53,99.53,100.13,10747401,0,0,0,1
2017-04-10,100.16,100.43,97.411,97.581,18420713,0,1,1,0
2017-04-11,96.363,98.709,96.164,97.931,15483644,0,1,1,0
2017-04-12,97.931,98.509,96.913,97.122,10005144,0,1,1,0
2017-04-13,96.144,97.023,95.306,95.306,12431260,0,1,1,0
2017-04-17,95.825,99.049,95.615,99.039,12165140,0,1,1,0
2017-04-18,98.459,99.348,97.411,99.099,9182873,0,1,1,0
2017-04-19,99.8,100.78,99.218,99.492,9361017,0,1,1,0
2017-04-20,100.07,101.25,99.218,101.06,9794816,0,1,1,0
2017-04-21,100.64,101.59,100.16,101.48,8352973,0,1,1,0
2017-04-24,102.76,103.28,101.91,102.75,9305382,0,1,1,0
2017-04-25,103.34,105.13,102.47,104.54,9723744,0,0,0,1
2017-04-26,105.09,105.19,103.74,103.82,8181100,0,1,1,0
2017-04-27,104.12,105.78,103.39,105.44,8000851,0,0,0,1
2017-04-28,105.16,105.44,103.87,104.1,8722999,0,1,1,1
2017-05-01,104.54,106.65,104.25,106.44,7694310,0,0,0,1
2017-05-02,105.35,105.39,102.36,103.28,15649210,0,1,1,0
2017-05-03,103,104.44,102.4,104.05,8417835,0,1,1,0
2017-05-04,104.3,104.75,103.33,103.65,5249402,0,1,1,0
2017-05-05,103.18,103.95,102.55,103.66,5721783,0,1,1,0
2017-05-08,104.14,104.2,102.11,102.57,9130805,0,1,1,0
2017-05-09,102.8,104.73,102.46,102.74,19316047,0,1,1,0
2017-05-10,114.07,121.58,113.8,121.05,53236182,0,1,1,0
2017-05-11,119.81,130.18,119.67,126.26,48476315,0,1,1,0
2017-05-12,126.39,129.35,125.54,127.65,24082933,0,1,1,0
2017-05-15,129.31,134.15,129.13,134.05,27146015,0,1,1,0
2017-05-16,136.12,137.18,133.1,136.55,28031560,0,0,0,1
2017-05-17,133.84,134.6,127.31,127.48,31775535,0,1,1,0
2017-05-18,129.25,133.17,126.81,132.81,28956667,0,1,1,0
2017-05-19,136.9,138.1,135.1,135.88,25308879,0,1,1,0
2017-05-22,137.65,139.36,137.21,138.78,20904880,0,1,1,0
2017-05-23,139.58,139.67,135.59,136.91,17030036,0,1,1,0
2017-05-24,140.84,140.95,137.96,138.45,20435910,0,1,1,0
2017-05-25,139.88,139.91,136.32,138.14,15197999,0,1,1,0
2017-05-26,137.81,145.15,136.99,141.71,19464060,0,1,1,0
2017-05-30,143.57,146.16,142.92,144.74,24716423,0,1,1,0
2017-05-31,146.56,146.87,141.93,144.22,22119463,0,1,1,0
2017-06-01,144.86,144.9,142.39,144.23,12523252,0,1,1,0
2017-06-02,144.11,145.17,143.27,143.51,12183516,0,1,1,0
2017-06-05,142.85,148.4,142.38,147.88,20420151,0,1,1,0
2017-06-06,147.69,149.56,146.67,147.21,18973713,0,1,1,0
2017-06-07,148.2,149.75,147.57,148.99,15179063,0,1,1,0
2017-06-08,153.33,159.86,151.66,159.8,28808394,0,0,0,1
2017-06-09,164.6,168.35,142.62,149.47,92295001,0,1,1,0
2017-06-12,145.75,151.57,141.98,149.84,42331651,0,1,1,0
2017-06-13,154.26,154.63,145.52,151.27,41781354,0,1,1,0
